country,map_join_name,is_microstate,mortality_level,mortality_rank
Albania,Albania,0,-0.212865381082766,32
Andorra,Andorra,1,-2.53056529233524,47
Australia,Australia,0,1.59175148332743,6
Austria,Austria,0,0.611885627498329,19
Belarus,Belarus,0,0.902714618936351,12
Belgium,Belgium,0,0.592944629853196,20
Bosnia and Herzegovina,Bosnia and Herzegovina,0,-1.89686912111559,45
Bulgaria,Bulgaria,0,-0.34349737003024,36
Canada,Canada,0,2.18076286448569,2
Chile,Chile,0,-1.13624366266297,42
Costa Rica,Costa Rica,0,-0.927276733665832,41
Croatia,Croatia,0,0.218118094007891,24
Cyprus,Cyprus,0,0.050337340539091,26
Czechia,Czechia,0,-0.265332256563276,33
Denmark,Denmark,0,1.34407111476191,10
Estonia,Estonia,0,1.47046589472286,7
Finland,Finland,0,1.62088719447344,5
France,France,0,0.659432605102162,16
Germany,Germany,0,0.627549350442382,17
Iceland,Iceland,1,1.66034016904715,3
Israel,Israel,0,0.146769326840419,25
Italy,Italy,0,-0.524286296226448,37
Japan,Japan,0,-1.69406776404234,44
Latvia,Latvia,0,0.7076587125339,15
Lithuania,Lithuania,0,1.01606443313667,11
Luxembourg,Luxembourg,1,0.718625267597157,14
Malta,Malta,1,0.426714783222099,22
Mexico,Mexico,0,-0.862821679366727,40
Monaco,Monaco,1,-1.55407633158197,43
Netherlands,Netherlands,0,0.0352109556565698,28
New Zealand,New Zealand,0,0.624633317700998,18
North Macedonia,North Macedonia,0,-0.773483346583111,38
Norway,Norway,0,1.40817016290176,8
Poland,Poland,0,-0.312458694007211,35
Portugal,Portugal,0,0.0189914202203693,29
Republic of Moldova,Moldova,0,-0.0734262845212437,31
Russian Federation,Russia,0,1.403097720235,9
San Marino,San Marino,1,-2.43011165354498,46
Serbia,Serbia,0,-0.276768110248605,34
Slovenia,Slovenia,0,0.0365538406705826,27
South Korea,South Korea,0,0.0,30
Spain,Spain,0,0.272805896936847,23
Switzerland,Switzerland,0,0.741867486889241,13
Turkey,Turkey,0,-0.792038839894574,39
Ukraine,Ukraine,0,0.531088510299739,21
United Kingdom,United Kingdom,0,1.64983427151395,4
United States of America,United States of America,0,2.97161237268035,1
