country,mortality_rank,combined_priority_rank,rank_shift,reclassification,regime
Iceland,3,1,2,Stable,Data-quality-limited
Belarus,12,2,10,Up >=10,Data-quality-limited
Estonia,7,3,4,Stable,Data-quality-limited
Australia,6,4,2,Stable,Medical-system-driven
Luxembourg,14,5,9,Stable,Data-quality-limited
United States of America,1,6,-5,Stable,Medical-system-driven
Canada,2,7,-5,Stable,Medical-system-driven
Slovenia,27,8,19,Up >=10,Data-quality-limited
Albania,32,9,23,Up >=10,Data-quality-limited
Malta,22,10,12,Up >=10,Data-quality-limited
Lithuania,11,11,0,Stable,Medical-system-driven
New Zealand,18,12,6,Stable,Medical-system-driven
Cyprus,26,13,13,Up >=10,Data-quality-limited
Portugal,29,14,15,Up >=10,Data-quality-limited
Finland,5,15,-10,Down >=10,Medical-system-driven
Bulgaria,36,16,20,Up >=10,Insufficient exposure data
North Macedonia,38,17,21,Up >=10,Insufficient exposure data
Croatia,24,18,6,Stable,Low-burden / protected
Israel,25,19,6,Stable,Low-burden / protected
Monaco,43,20,23,Up >=10,Insufficient exposure data
United Kingdom,4,21,-17,Down >=10,Medical-system-driven
Latvia,15,22,-7,Stable,Medical-system-driven
Norway,8,23,-15,Down >=10,Medical-system-driven
Austria,19,24,-5,Stable,Medical-system-driven
Czechia,33,25,8,Stable,Data-quality-limited
San Marino,46,26,20,Up >=10,Insufficient exposure data
Netherlands,28,27,1,Stable,Low-burden / protected
Serbia,34,28,6,Stable,Low-burden / protected
Andorra,47,29,18,Up >=10,Insufficient exposure data
Denmark,10,30,-20,Down >=10,Medical-system-driven
France,16,31,-15,Down >=10,Medical-system-driven
Belgium,20,32,-12,Down >=10,Medical-system-driven
Russian Federation,9,33,-24,Down >=10,Medical-system-driven
Switzerland,13,34,-21,Down >=10,Medical-system-driven
Spain,23,35,-12,Down >=10,Medical-system-driven
South Korea,30,36,-6,Stable,Low-burden / protected
Republic of Moldova,31,37,-6,Stable,Low-burden / protected
Bosnia and Herzegovina,45,38,7,Stable,Insufficient exposure data
Ukraine,21,39,-18,Down >=10,Medical-system-driven
Poland,35,40,-5,Stable,Low-burden / protected
Germany,17,41,-24,Down >=10,Medical-system-driven
Turkey,39,42,-3,Stable,Low-burden / protected
Japan,44,43,1,Stable,Low-burden / protected
Costa Rica,41,44,-3,Stable,Low-burden / protected
Chile,42,45,-3,Stable,Low-burden / protected
Italy,37,46,-9,Stable,Low-burden / protected
Mexico,40,47,-7,Stable,Low-burden / protected
