country,year,log_asdr
Hungary,1992,-1.1620230591352552
Hungary,1993,-1.1633777119439093
Hungary,1994,-1.2206221637819685
Hungary,1995,-1.2401954485045235
Hungary,1996,-1.253377440659263
Hungary,1997,-1.2221364222989406
Hungary,1998,-1.1092817700387143
Hungary,1999,-1.0040919326079074
Hungary,2000,-0.9994042558666828
Hungary,2001,-1.0001891333745574
Hungary,2002,-0.9891272030908547
Hungary,2003,-0.9591221338801228
Hungary,2004,-0.9433667254235524
Hungary,2005,-0.9151309884053552
Hungary,2006,-0.9273777942287696
Hungary,2007,-0.9238955961051749
Hungary,2008,-0.9643753230412943
Hungary,2009,-0.9768155719003532
Hungary,2010,-1.0299781143208409
Hungary,2011,-1.0788706251681184
Hungary,2012,-1.0769720574584307
Hungary,2013,-1.1029666124686661
Hungary,2014,-1.075065995461579
Hungary,2015,-1.0336496109213362
Hungary,2016,-1.0501355593527182
Hungary,2017,-0.9709198354524614
Hungary,2018,-0.9194531422097796
North Macedonia,1992,-1.005799746929356
North Macedonia,1993,-0.9814866726576066
North Macedonia,1994,-1.0176824181033028
North Macedonia,1995,-1.0092870404543823
North Macedonia,1996,-0.9787291191179893
North Macedonia,1997,-0.9336331458674534
North Macedonia,1998,-0.8170199366763571
North Macedonia,1999,-0.7137826562674331
North Macedonia,2000,-0.6828569712444384
North Macedonia,2001,-0.6305599740537264
North Macedonia,2002,-0.5871440631623356
North Macedonia,2003,-0.5645752763918889
North Macedonia,2004,-0.5706881820785961
North Macedonia,2005,-0.5822376615170292
North Macedonia,2006,-0.580302214060562
North Macedonia,2007,-0.5526607634690759
North Macedonia,2008,-0.5633944859882943
North Macedonia,2009,-0.5741902610827624
North Macedonia,2010,-0.5934153613657747
North Macedonia,2011,-0.6399356651963385
North Macedonia,2012,-0.6488389686204571
North Macedonia,2013,-0.6364309787645381
North Macedonia,2014,-0.6239238191018643
North Macedonia,2015,-0.6207184327968311
North Macedonia,2016,-0.6090310082231919
North Macedonia,2017,-0.6185139197322049
North Macedonia,2018,-0.6206348537155358
Greece,1992,0.05058526947442076
Greece,1993,0.16773804322911046
Greece,1994,0.34726725873081116
Greece,1995,0.505858462855849
Greece,1996,0.6198759899685599
Greece,1997,0.6944158198395456
Greece,1998,0.7525439168303071
Greece,1999,0.8189451994699192
Greece,2000,0.8907140965235901
Greece,2001,0.9302463057274817
Greece,2002,0.8946659389054287
Greece,2003,0.9066680123599649
Greece,2004,0.975102089055487
Greece,2005,1.0430296551824665
Greece,2006,1.0508190798119486
Greece,2007,1.070770581030633
Greece,2008,1.0329060744284897
Greece,2009,1.0190869496514552
Greece,2010,0.9377527589501968
Greece,2011,0.8524868856901475
Greece,2012,0.7970731167334225
Greece,2013,0.7243814239547578
Greece,2014,0.7072184728835611
Greece,2015,0.7465687010078299
Greece,2016,0.7618746399450763
Greece,2017,0.7810498790718163
Greece,2018,0.8188614581079784
Germany,1992,0.5209896079001722
Germany,1993,0.5244109812482763
Germany,1994,0.5215169519092521
Germany,1995,0.5162040206498111
Germany,1996,0.5178895559116865
Germany,1997,0.4999685769868572
Germany,1998,0.5146642087335752
Germany,1999,0.5659638689821828
Germany,2000,0.5975239135935683
Germany,2001,0.5658333931283396
Germany,2002,0.5305248438062207
Germany,2003,0.5152596908940416
Germany,2004,0.4857856188342214
Germany,2005,0.4799195589393183
Germany,2006,0.47594820094245655
Germany,2007,0.5054697004275671
Germany,2008,0.5340056151953776
Germany,2009,0.5335784756640066
Germany,2010,0.5088644342202843
Germany,2011,0.4801823591863679
Germany,2012,0.46708693166950316
Germany,2013,0.48985618805763936
Germany,2014,0.5091134381026792
Germany,2015,0.5703126354989395
Germany,2016,0.6034599047411886
Germany,2017,0.5913586454023237
Germany,2018,0.6181148385205886
Argentina,1992,-3.0287550411341995
Argentina,1993,-3.0298735493766458
Argentina,1994,-3.008157909971128
Argentina,1995,-2.983401027326838
Argentina,1996,-2.9281090018221034
Argentina,1997,-2.730617342409524
Argentina,1998,-2.537981747469982
Argentina,1999,-2.447573626675022
Argentina,2000,-2.440568607182566
Argentina,2001,-2.349970012356578
Argentina,2002,-2.2740576429694688
Argentina,2003,-2.2810196189007947
Argentina,2004,-2.28784335045617
Argentina,2005,-2.247699217738612
Argentina,2006,-2.1875947502183113
Argentina,2007,-2.1053186688332097
Argentina,2008,-2.107031262375276
Argentina,2009,-2.1068744506990402
Argentina,2010,-2.105282820375322
Argentina,2011,-2.0726178412711933
Argentina,2012,-2.042233166965767
Argentina,2013,-2.045851262732652
Argentina,2014,-2.0620758752849193
Argentina,2015,-2.0471668298549366
Argentina,2016,-1.9855170499071517
Argentina,2017,-1.934501500123802
Argentina,2018,-1.8696484650440757
Montenegro,1992,-1.8306577760747524
Montenegro,1993,-1.776476682714045
Montenegro,1994,-1.7564810990029887
Montenegro,1995,-1.7433266486974206
Montenegro,1996,-1.7166489963271838
Montenegro,1997,-1.6901761346860038
Montenegro,1998,-1.6522905718823966
Montenegro,1999,-1.5795068477506544
Montenegro,2000,-1.572172956245661
Montenegro,2001,-1.6124585872454085
Montenegro,2002,-1.654434468343159
Montenegro,2003,-1.6411549895039241
Montenegro,2004,-1.6329133115452297
Montenegro,2005,-1.6206576656017444
Montenegro,2006,-1.6429378729623658
Montenegro,2007,-1.6530760339582409
Montenegro,2008,-1.6534023150806194
Montenegro,2009,-1.6532009772063103
Montenegro,2010,-1.6531411002950698
Montenegro,2011,-1.6590931127850193
Montenegro,2012,-1.6372426513708203
Montenegro,2013,-1.6192734476203483
Montenegro,2014,-1.6125953191075573
Montenegro,2015,-1.618399089150957
Montenegro,2016,-1.5937982564935378
Montenegro,2017,-1.5449562912972543
Montenegro,2018,-1.5360611595296256
Iceland,1992,0.7685607960404982
Iceland,1993,0.7641270013280459
Iceland,1994,0.7972922247105206
Iceland,1995,0.8207674410209811
Iceland,1996,0.8562924195613245
