country,15-49 years,15-64 years,65+ years,primary_dodji
Italy,-1.0332524478892569,-1.0301677636076134,-0.8019707031728318,-1.1202730531842
Russian Federation,-1.6221594494119909,-1.612163635744556,-1.7887053863240365,-0.933234031301391
Germany,-0.5075109212721522,-0.5086405109852041,-0.29433513488884117,-0.867911067488752
United Kingdom,-1.5355376416243973,-1.550020264469784,-1.5767325266126546,-0.766191163349263
Denmark,-0.600588791830779,-0.6063542574527665,-0.6550734587230147,-0.749379643590862
Switzerland,-0.5478121439811781,-0.5600080186012626,-0.4463566682421307,-0.744889107383162
Norway,-1.2670604320569165,-1.29699913698162,-1.5101012874223625,-0.706645843856076
Finland,-0.6893693169758135,-0.6912432542309707,-0.49502229690936567,-0.562379010891408
France,-0.41215252421366405,-0.4036034991294896,-0.5237195294538909,-0.529493079885903
Ukraine,-0.23488918450775997,-0.24924325422674254,-0.6610943197870216,-0.508660216593089
Belgium,-0.44517395006524174,-0.4264024936827115,-0.13767616142881078,-0.429294254352914
Latvia,-0.2260679127659204,-0.2308081615902359,-0.3678431189245567,-0.353688385154646
Spain,-0.29989682984859145,-0.2976890673767317,-0.07847211490709458,-0.348452146159954
Austria,-0.5811130878190853,-0.5504108758629811,-0.12643286299408463,-0.336479730310334
Lithuania,-0.3075179699218287,-0.307575262305269,-0.400718995856607,-0.247311173501984
Poland,-0.8018243002315059,-0.8185334900628732,-1.2752671210685205,-0.217886228661285
Republic of Moldova,0.02500785334159887,-0.0071460137958478135,-0.06764941355315625,-0.197149119183562
Netherlands,-0.11639922150910102,-0.11862942562579644,0.07821839913593784,-0.195248460218519
Croatia,-0.24986880760836955,-0.22056020502089282,-0.15108247176400774,-0.118885919497889
Israel,-0.2394742778989618,-0.22214306112105398,-0.1551866112428553,-0.0879640780853574
Serbia,0.7549827540355069,0.7255338682616562,0.6009142580730406,-0.003669976997751
Czechia,-0.07183798547068815,-0.05458024463254012,-0.12361148314100945,0.05149575720136
Estonia,-0.4094595155473467,-0.4003215085923455,-0.4196624862845032,0.275918359965989
Cyprus,1.2966721989692693,1.3189249372993705,1.214454196071828,0.336640192911784
Malta,0.056165366711752145,0.06571294018534107,0.12911001554194593,0.521590727195709
Luxembourg,-0.21133359532586246,-0.23860586768415956,-0.5430635300091678,0.567754662975557
Portugal,-0.31308055243566396,-0.2869982739827337,0.061288749197235336,0.622589328950462
Bosnia and Herzegovina,1.5757893895504553,1.5249395489726054,1.7004825379933204,0.651864686754371
Iceland,-0.4570156209346547,-0.4698797903877087,-0.4264808002257688,0.703428661206264
Belarus,0.024719151134927956,0.03532633314985376,-0.19040642185267198,0.705410905117321
Bulgaria,0.03450206045326952,0.044761603674151294,0.09417411250036217,0.798993092189358
Slovenia,0.07556505359847948,0.056948484364761055,0.054823323436241814,0.971496953135387
North Macedonia,1.1069139312645466,1.0675202156020407,0.9612738231171319,0.973625708604972
Andorra,2.375067934805501,2.4011924222322922,2.576323122723245,1.11438575492967
San Marino,2.0876827361314825,2.085971720774797,1.9993672966919132,1.11851162510212
Monaco,3.161967574489198,3.1440699206460785,2.532446312825084,2.27785197462129
Albania,0.8894367589016368,0.9655120116739685,1.4082571145122265,2.301977051011
