country,iso3,who_ill_defined_pct,who_cod_completeness_pct,who_civil_reg_death_pct,who_civil_reg_birth_pct,who_forensic_alcohol_monitor,who_forensic_drug_monitor,wb_gdp_per_capita,wb_population,wb_life_expectancy,wb_comm_disease_death_pct
Monaco,MCO,,100.0,,,,,256799.911212051,38956,86.372,
Albania,ALB,23.511,53.25743,53.34318,,1.0,1.0,9740.7023414631,2411658,79.602,23.0113153060195
Iceland,ISL,6.83983,100.0,100.0,,1.0,1.0,82201.2908518078,385663,82.4560975609756,4.23865121597601
United States of America,USA,7.19957,100.0,98.25957,,1.0,1.0,82586.7847707894,336755052,78.3853658536585,16.5488949256361
Bulgaria,BGR,26.64476,100.0,100.0,,,,15854.0192893772,6446596,75.7560975609756,21.6361889832661
North Macedonia,MKD,15.52478,100.0,99.99728,,1.0,1.0,8674.35846327485,1827816,75.3160975609756,27.6934961188423
Estonia,EST,6.70472,100.0,100.0,,1.0,1.0,30264.0064885057,1370286,78.7926829268293,12.9083851652427
Canada,CAN,5.08921,100.0,99.75232,,1.0,1.0,54847.5370112652,40049088,81.6263414634146,8.35712219298627
Malta,MLT,5.63462,100.0,100.0,,1.0,1.0,40932.5238774461,552747,83.3560975609756,12.9120539342555
Slovenia,SVN,11.23828,100.0,100.0,,1.0,1.0,32660.4753581346,2120461,81.9292682926829,17.2767347082503
Australia,AUS,5.41395,100.0,100.0,,1.0,1.0,65058.3773146674,26659922,83.0512195121951,4.19491918738963
Austria,AUT,8.87082,100.0,100.0,,1.0,1.0,56579.504175468,9131761,81.7926829268293,11.2961991917301
New Zealand,NZL,2.97274,100.0,100.0,,1.0,1.0,49302.341876493,5200000,81.7585365853659,4.5097035370186
Luxembourg,LUX,12.03438,100.0,100.0,,,,133230.619178899,666430,83.309756097561,14.9300306909036
San Marino,SMR,6.07735,100.0,,,,,59871.3288101478,33860,85.706,
Belarus,BLR,12.04686,99.902,100.0,,1.0,1.0,7896.75388295584,9178298,74.1837804878049,16.0087336125794
Cyprus,CYP,10.95524,67.53566,85.51095,,1.0,1.0,36623.70703125,1344976,81.648,12.9749697376432
Lithuania,LTU,3.22581,99.19991,100.0,,1.0,1.0,27983.3658256887,2871585,77.290243902439,17.2252827858079
Czechia,CZE,9.14803,100.0,100.0,,1.0,1.0,31761.5944102491,10864042,79.8268292682927,23.4625903529271
Latvia,LVA,4.01277,100.0,99.92131,,1.0,1.0,22710.2637544197,1883710,75.4268292682927,14.7836435724912
Andorra,AND,6.56028,100.0,,,1.0,1.0,46812.448450114,80856,84.041,
Finland,FIN,2.33261,100.0,100.0,,1.0,1.0,52864.6931581216,5583911,81.5853658536585,2.5593416426267
Belgium,BEL,15.05957,100.0,99.60833,,1.0,1.0,55244.68145811,11779946,82.4,17.9027095201615
Croatia,HRV,5.70991,100.0,100.0,,1.0,1.0,22183.4982258492,3859686,78.4731707317073,15.3474256509976
Serbia,SRB,15.09578,94.05333,90.16288,,0.0,0.0,12281.707946167,6623183,76.1414634146341,25.8063958611152
Bosnia and Herzegovina,BIH,20.29739,95.02706,89.45269,,0.0,0.0,8663.02326458629,3185073,77.85,21.8985591170726
Portugal,PRT,13.65628,100.0,100.0,,1.0,1.0,27634.6183139773,10578174,82.3292682926829,15.4418579353871
Denmark,DNK,12.65127,100.0,97.53874,,1.0,1.0,68043.5466971243,5946952,81.7536585365854,9.08109622802695
Republic of Moldova,MDA,1.83958,79.62334,90.47144,,1.0,1.0,6799.58594644576,2457783,71.198,23.8424276896184
Poland,POL,31.33335,100.0,,,,,22145.2660647429,36687353,78.2585365853659,23.7232016104786
Spain,ESP,8.52644,100.0,100.0,,1.0,1.0,33493.2225409111,48352528,83.9341463414634,12.8383468831105
Israel,ISR,9.14697,100.0,100.0,,1.0,1.0,52126.4489280033,9849000,83.1951219512195,18.9543934106822
South Korea,KOR,13.28368,100.0,99.31434,,0.0,0.0,35674.095995632,51712619,83.4292682926829,14.6502843445075
Russian Federation,RUS,7.81471,100.0,99.54918,,1.0,1.0,13986.9951171875,143826130,73.2546341463415,26.8592327830652
Ukraine,UKR,2.37577,92.33643,98.58081,,1.0,1.0,5139.59814453125,37732836,73.422,18.2699372441341
Turkey,TUR,9.60725,91.60294,78.24942,,,1.0,13375.0947282864,85325965,77.156,22.3002668912949
Germany,DEU,10.70017,100.0,99.59532,,0.0,1.0,54776.7668235491,83287273,81.0414634146342,10.7098283576241
Switzerland,CHE,10.24317,100.0,100.0,,1.0,1.0,104449.75451772,8888822,84.1560975609756,12.4234175232007
Netherlands,NLD,12.96134,100.0,99.79009,,1.0,1.0,63515.6030780019,17877117,81.8634146341464,16.4636672023695
Costa Rica,CRI,5.24889,87.43953,91.16277,,1.0,1.0,17140.771430122,5105525,80.799,24.4420343892099
France,FRA,15.39244,100.0,100.0,,0.0,0.0,44700.1384177544,68372286,82.8317073170732,14.6760864686264
United Kingdom,GBR,5.32515,100.0,100.0,,1.0,1.0,49919.6896621586,68526000,81.2380975609756,16.9669591994466
Norway,NOR,10.74571,100.0,100.0,,1.0,1.0,90984.4087141111,5519601,83.0121951219512,7.60661051805043
Japan,JPN,15.68065,100.0,100.0,,1.0,1.0,35215.003535366,124516650,84.0412195121951,9.93938650138259
Italy,ITA,8.66081,100.0,,,,,39279.699782164,58984216,83.3512195121951,15.0386399993496
Mexico,MEX,3.98727,100.0,98.99678,,1.0,1.0,13830.843848864,129739759,75.069,38.8225067647249
Chile,CHL,4.59899,94.89843,,,,,17081.5180740049,19658835,81.167,21.3441804893583
