country,first_treat_year,policy_type,analysis_included,source_scope,methadone_year,methadone_status,high_dose_buprenorphine_year,high_dose_buprenorphine_status,buprenorphine_naloxone_year,buprenorphine_naloxone_status,slow_release_oral_morphine_year,slow_release_oral_morphine_status,source_id,source_url,source_locator,coding_note,verification_status
Albania,,standard_oat_official_availability,0,outside_harmonised_euda_reporting_scope,,not_coded,,not_coded,,not_coded,,not_coded,,,,Excluded from the event-study because no single harmonised source supplies a comparable national introduction year.,scope_excluded_not_assumed_never_treated
Andorra,,standard_oat_official_availability,0,outside_harmonised_euda_reporting_scope,,not_coded,,not_coded,,not_coded,,not_coded,,,,Excluded from the event-study because no single harmonised source supplies a comparable national introduction year.,scope_excluded_not_assumed_never_treated
Argentina,,standard_oat_official_availability,0,outside_harmonised_euda_reporting_scope,,not_coded,,not_coded,,not_coded,,not_coded,,,,Excluded from the event-study because no single harmonised source supplies a comparable national introduction year.,scope_excluded_not_assumed_never_treated
Australia,,standard_oat_official_availability,0,outside_harmonised_euda_reporting_scope,,not_coded,,not_coded,,not_coded,,not_coded,,,,Excluded from the event-study because no single harmonised source supplies a comparable national introduction year.,scope_excluded_not_assumed_never_treated
Austria,1987,standard_oat_official_availability,1,harmonised_euda_table_a1,1987,officially_available,1998,officially_available,2008,officially_available,1998,officially_available,EUDA_2021_TA1,https://www.euda.europa.eu/system/files/media/publications/documents/13547/TD0121046ENN.pdf,"Appendix Table A1, pp. 46-47 (PDF pages 45-46)",Earliest official availability among four standard OAT medication classes; diacetylmorphine pilots excluded.,verified_authoritative_cross_national_table
Belarus,,standard_oat_official_availability,0,outside_harmonised_euda_reporting_scope,,not_coded,,not_coded,,not_coded,,not_coded,,,,Excluded from the event-study because no single harmonised source supplies a comparable national introduction year.,scope_excluded_not_assumed_never_treated
Belgium,1994,standard_oat_official_availability,1,harmonised_euda_table_a1,1994,officially_available,2003,officially_available,2008,officially_available,,not_applicable,EUDA_2021_TA1,https://www.euda.europa.eu/system/files/media/publications/documents/13547/TD0121046ENN.pdf,"Appendix Table A1, pp. 46-47 (PDF pages 45-46)",Earliest official availability among four standard OAT medication classes; diacetylmorphine pilots excluded.,verified_authoritative_cross_national_table
Bosnia and Herzegovina,,standard_oat_official_availability,0,outside_harmonised_euda_reporting_scope,,not_coded,,not_coded,,not_coded,,not_coded,,,,Excluded from the event-study because no single harmonised source supplies a comparable national introduction year.,scope_excluded_not_assumed_never_treated
Brazil,,standard_oat_official_availability,0,outside_harmonised_euda_reporting_scope,,not_coded,,not_coded,,not_coded,,not_coded,,,,Excluded from the event-study because no single harmonised source supplies a comparable national introduction year.,scope_excluded_not_assumed_never_treated
Bulgaria,1996,standard_oat_official_availability,1,harmonised_euda_table_a1,1996,officially_available,,not_applicable,2008,legally_available_no_reported_clients,2006,officially_available,EUDA_2021_TA1,https://www.euda.europa.eu/system/files/media/publications/documents/13547/TD0121046ENN.pdf,"Appendix Table A1, pp. 46-47 (PDF pages 45-46)",Earliest official availability among four standard OAT medication classes; diacetylmorphine pilots excluded.,verified_authoritative_cross_national_table
Canada,,standard_oat_official_availability,0,outside_harmonised_euda_reporting_scope,,not_coded,,not_coded,,not_coded,,not_coded,,,,Excluded from the event-study because no single harmonised source supplies a comparable national introduction year.,scope_excluded_not_assumed_never_treated
Chile,,standard_oat_official_availability,0,outside_harmonised_euda_reporting_scope,,not_coded,,not_coded,,not_coded,,not_coded,,,,Excluded from the event-study because no single harmonised source supplies a comparable national introduction year.,scope_excluded_not_assumed_never_treated
Colombia,,standard_oat_official_availability,0,outside_harmonised_euda_reporting_scope,,not_coded,,not_coded,,not_coded,,not_coded,,,,Excluded from the event-study because no single harmonised source supplies a comparable national introduction year.,scope_excluded_not_assumed_never_treated
Costa Rica,,standard_oat_official_availability,0,outside_harmonised_euda_reporting_scope,,not_coded,,not_coded,,not_coded,,not_coded,,,,Excluded from the event-study because no single harmonised source supplies a comparable national introduction year.,scope_excluded_not_assumed_never_treated
Croatia,1991,standard_oat_official_availability,1,harmonised_euda_table_a1,1991,officially_available,2004,officially_available,2009,officially_available,,not_applicable,EUDA_2021_TA1,https://www.euda.europa.eu/system/files/media/publications/documents/13547/TD0121046ENN.pdf,"Appendix Table A1, pp. 46-47 (PDF pages 45-46)",Earliest official availability among four standard OAT medication classes; diacetylmorphine pilots excluded.,verified_authoritative_cross_national_table
Cyprus,2007,standard_oat_official_availability,1,harmonised_euda_table_a1,,not_applicable,2007,officially_available,2008,officially_available,,not_applicable,EUDA_2021_TA1,https://www.euda.europa.eu/system/files/media/publications/documents/13547/TD0121046ENN.pdf,"Appendix Table A1, pp. 46-47 (PDF pages 45-46)",Earliest official availability among four standard OAT medication classes; diacetylmorphine pilots excluded.,verified_authoritative_cross_national_table
Czechia,1998,standard_oat_official_availability,1,harmonised_euda_table_a1,1998,officially_available,2000,officially_available,2008,officially_available,,not_applicable,EUDA_2021_TA1,https://www.euda.europa.eu/system/files/media/publications/documents/13547/TD0121046ENN.pdf,"Appendix Table A1, pp. 46-47 (PDF pages 45-46)",Earliest official availability among four standard OAT medication classes; diacetylmorphine pilots excluded.,verified_authoritative_cross_national_table
Denmark,1970,standard_oat_official_availability,1,harmonised_euda_table_a1,1970,officially_available,1999,officially_available,,not_applicable,,not_applicable,EUDA_2021_TA1,https://www.euda.europa.eu/system/files/media/publications/documents/13547/TD0121046ENN.pdf,"Appendix Table A1, pp. 46-47 (PDF pages 45-46)",Earliest official availability among four standard OAT medication classes; diacetylmorphine pilots excluded.,verified_authoritative_cross_national_table
